"","date","松山機場","中山國中","南京復興","忠孝復興","大安","科技大樓","六張犁","麟光","辛亥","萬芳醫院","萬芳社區","木柵","動物園","大直","劍南路","西湖","港墘","文德","內湖","大湖公園","葫洲","東湖","南港軟體園區","南港展覽館","小碧潭","新店","新店區公所","七張","大坪林","景美","萬隆","公館","台電大樓","古亭","中正紀念堂","小南門","頂溪","永安市場","景安","南勢角","台大醫院","台北車站","中山","雙連","民權西路","圓山","劍潭","士林","芝山","明德","石牌","唭哩岸","奇岩","北投","新北投","復興崗","忠義","關渡","竹圍","紅樹林","淡水","頂埔","永寧","土城","海山","亞東醫院","府中","板橋","新埔","江子翠","龍山寺","西門","善導寺","忠孝新生","忠孝敦化","國父紀念館","市政府","永春","後山埤","昆陽","南港","象山","台北101/世貿","信義安和","大安森林公園","北門","松江南京","台北小巨蛋","南京三民","松山","輔大","新莊","頭前庄","先嗇宮","三重","菜寮","台北橋","大橋頭","中山國小","行天宮","東門","蘆洲","三民高中","徐匯中學","三和國中","三重國小","迴龍","丹鳳","NA"
"21",2015-12-21,5570,16435,35600,47671,24878,15663,11728,4144,3189,15218,2510,4496,5933,10279,10376,17114,15385,5618,7923,3147,8278,8255,4323,29003,2233,12065,11296,16028,21201,16384,9589,27977,18088,33124,28571,9448,35214,25774,25628,21082,24208,147581,35377,22047,26243,28679,36676,29578,22855,13432,30590,7888,9321,17837,7451,3380,2719,13933,9827,7534,38399,6615,11445,6986,20757,21163,28669,39420,42611,25092,28127,66505,21616,31355,38129,20263,59460,20214,17158,14913,13047,11502,27422,16022,6965,7304,36209,21109,20667,20942,13029,10520,4902,4417,4266,9094,8343,13222,16891,25923,22973,12309,12135,11545,12077,11574,8916,8690,NA
"22",2015-12-22,5640,17031,36438,48838,25350,15819,11985,4223,3334,15378,2588,4661,8815,10519,11222,17798,15568,5872,8126,3393,8567,8428,4445,29861,2299,12278,11392,16347,21430,16690,9598,29301,18720,33705,30327,9472,35362,26421,25633,21659,25117,139408,36245,22462,26349,26461,38374,30625,23886,13590,31235,7966,9478,18165,7806,3411,2832,13637,9881,7669,40407,6631,11402,6841,20836,21600,29154,39822,43532,25496,28459,67496,23014,31554,38824,20780,58582,20582,17203,15135,13149,11522,28206,16777,7641,7399,36890,21591,20732,21077,13105,10684,4927,4355,4388,9318,8451,13018,17402,26195,24057,12166,12025,11709,12190,11737,9144,8691,NA
"23",2015-12-23,5743,17495,37438,52292,25943,16362,12580,4292,3273,15815,2517,4848,9389,10770,11429,18060,15954,6010,8321,3399,8530,8593,4535,29958,2290,12720,12044,16721,22270,17308,9879,30305,19431,34484,30971,9466,36241,27168,26537,21777,25580,147053,38961,22903,27191,27006,40500,32949,25300,13798,32622,8143,9460,18397,8210,3608,2792,14378,10227,7638,41750,6863,11671,7157,21117,21879,30105,43290,44475,26182,28909,71456,24742,32866,41651,21964,62687,21379,17978,15665,13538,11690,28746,17150,7613,7644,37931,22292,21237,22175,13492,10850,5149,4520,4470,9579,8669,13518,18093,26987,24965,12543,12560,12060,12452,12019,9383,8783,NA
"24",2015-12-24,6183,17737,37972,55401,26066,16872,12946,4271,3324,15745,2591,4791,9041,11330,12470,18234,16231,6041,8367,3425,8907,8753,4900,30646,2495,12504,11984,17474,22638,17692,10019,32798,20822,34839,32421,8188,37267,26872,26858,22150,24389,154544,40353,23167,27897,26812,40515,30419,24551,14088,33110,8316,9684,18659,8590,3581,2930,14082,10278,8089,42792,6917,12125,7128,21579,22273,31326,51469,45517,26383,29814,74547,24037,34830,43856,22980,70788,21588,18260,16053,14067,11492,32851,17244,7816,7819,38955,22512,21746,22037,14593,11379,5141,4465,4557,9714,8910,13849,18090,27078,25979,12593,12621,12355,12624,12130,9475,9123,NA
"25",2015-12-25,6617,18501,40057,62526,27308,17580,13242,4579,3526,18272,2624,4965,8813,11965,14148,18708,16624,6928,9022,3409,9915,9493,4781,31915,2684,13666,12823,18192,23753,19465,10725,37421,22602,36631,34658,8441,38604,28242,28482,22926,24816,182243,45091,23784,29107,29499,45595,34099,24763,14247,34559,8715,10242,19879,9904,3731,2918,16081,10582,8769,47775,7061,12734,7463,22523,21653,35045,62595,48139,28015,32838,87491,25509,38427,49351,26076,81523,22825,19179,17050,15238,11929,38512,18623,8144,8452,40032,23775,23155,24171,10523,11672,5432,4631,4809,10272,9787,15762,19521,29910,28661,13559,13337,13412,13446,13009,10149,9912,NA
"26",2015-12-26,4814,12546,25619,61323,17592,12607,9780,3863,2966,11730,2077,3502,11797,8331,13853,7212,8051,4958,8614,3384,7208,7620,2404,31045,2529,12008,10609,15118,17863,15770,9549,36921,22157,30709,37352,5227,35037,26402,23136,19807,15152,188326,42370,22054,20638,28368,45305,30988,22300,10749,27270,6842,7300,17160,10721,3270,1898,9196,9617,6402,47245,5865,11715,6527,18793,16378,33152,61276,39714,24145,31739,93596,18502,37248,44781,21888,72079,17190,16519,11095,10536,10148,38002,14157,9760,6430,22957,19030,18497,20815,9651,10552,4759,2477,4012,8210,9213,12696,14201,21770,26692,11654,11995,11917,11384,11465,8460,8807,NA
"27",2015-12-27,4886,9669,20427,50825,13581,10591,7768,3328,2320,7677,1510,2537,6583,6059,11658,5408,5941,3601,6542,2364,5987,6242,2361,29116,2349,9348,8806,12233,15059,12882,8065,30515,17650,23921,23827,3560,28456,20331,19401,15600,12242,185806,36218,14687,18924,21568,34146,23833,20901,7446,20463,5516,5844,13084,9204,2593,1654,6178,6820,4814,31487,4908,10017,5328,15191,12945,25840,41852,31929,18758,25397,75039,15337,28876,34867,17893,59955,14514,12808,8931,8738,7130,34178,10749,6922,5092,18021,17253,13904,16886,7302,7611,3952,2015,3060,8021,7559,11105,12437,17841,22332,9046,9006,10067,9231,9440,6239,6773,NA
"28",2015-12-28,6197,16850,36786,50158,25450,15842,12098,4070,3150,14881,2387,4445,5857,10476,10812,17516,15341,5825,8207,3094,8373,8411,4449,34593,2212,12226,11326,16225,21167,16636,9590,28258,18431,32876,29418,9499,35290,26324,26072,21328,24574,154355,39960,23831,27167,25369,38289,29861,23323,13697,30956,7940,9529,18182,8246,3463,2721,13089,9580,7579,38051,6692,11195,7081,20645,21485,28771,37500,42991,25409,29573,69149,22148,33005,39622,21509,61787,20493,17173,14989,13140,10972,32292,16617,7226,7545,38072,21985,21006,22134,12933,10727,5127,4406,4400,9286,8550,13631,17932,27489,25409,12398,12190,11876,12166,11923,9055,8762,NA
"29",2015-12-29,6060,17422,37981,51752,26067,16318,12470,4222,3289,15365,2474,4640,9908,10785,10808,18065,15863,5895,8230,3339,8440,8535,4356,35178,2235,12448,11552,16500,21549,16681,9775,29356,19454,34250,32645,9567,36032,27007,26603,21736,25470,146736,39488,24472,27520,27300,40475,31880,23934,13807,32131,7976,9827,18637,9345,3455,2815,13677,10090,7715,40478,6715,11268,6820,21021,22012,29628,37487,43582,25577,30486,70431,23879,33619,40639,22502,61318,21282,17755,15520,13413,11558,32332,17103,7837,7590,38377,22138,21559,23252,13111,10856,5188,4551,4368,9743,8763,13661,18374,27932,26547,12384,12369,11972,12337,11792,9099,8764,NA
"30",2015-12-30,6484,17760,39436,56537,26979,17033,12870,4428,3256,17007,2537,4830,8172,11168,12210,18281,16001,6048,8372,3152,9087,8817,4650,34354,2274,12560,12062,16953,22556,17336,10406,30747,20498,35358,32888,9919,36940,27760,26919,21868,25506,159655,42205,24841,27576,26979,41800,32941,25217,14031,33130,8329,9680,18835,9750,3562,2794,13928,10270,7857,40290,6787,11533,7247,21077,22010,30397,38810,44999,25941,31132,76459,25115,34879,44387,26588,66057,22502,18535,15928,13728,11346,34934,18261,7584,8069,40028,23090,22778,24122,13436,10938,5309,4508,4538,9865,9159,14175,19103,28864,28058,12744,12566,12388,12695,12311,9337,8884,NA
"31",2015-12-31,8194,21076,44320,74180,34870,19428,19874,6126,4459,21441,3084,6168,15825,14256,24456,20479,18754,8151,11400,4301,10429,11009,5038,41034,2992,15763,14417,21645,26186,22470,12624,44486,24491,39754,40263,10170,45343,33132,32742,27114,25777,238493,50949,26953,31550,34092,54362,41430,29816,15441,37165,9653,10928,23063,10727,4175,3066,15975,12281,10135,60695,9409,16485,9095,26103,25423,39265,59164,54277,31751,38492,111532,24724,43089,61910,50809,111982,36448,25766,19309,19242,38541,71794,38157,12343,9800,44011,26959,28892,38711,18794,14847,6887,5668,6071,12134,12792,17813,23006,32687,35072,15901,15658,15651,15601,15755,14335,13192,NA
